"bill_number","bill_id","session_id","session","session_name","bill_url","state_link","bill_title","type","bill_desc","status","status_date","session_year","two_year_period"
"HB2001",1893467,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2001/2025","https://apps.azleg.gov/BillStatus/BillOverview/81592","Behavioral health; graduates; license exemption",NA,"Behavioral health; graduates; license exemption",4,"2025-05-02",2025,"2025-2026"
"HB2002",1896875,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2002/2025","https://apps.azleg.gov/BillStatus/BillOverview/81617","Transportation tax; deposit; county board",NA,"Transportation tax; deposit; county board",1,"2025-01-13",2025,"2025-2026"
"HB2003",1897282,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2003/2025","https://apps.azleg.gov/BillStatus/BillOverview/81637","Real estate; membership requirement; prohibition",NA,"Real estate; membership requirement; prohibition",1,"2025-01-16",2025,"2025-2026"
"HB2004",1897250,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2004/2025","https://apps.azleg.gov/BillStatus/BillOverview/81638","Voter registration cards; mailing limitation",NA,"Voter registration cards; mailing limitation",5,"2025-04-15",2025,"2025-2026"
"HB2005",1897313,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2005/2025","https://apps.azleg.gov/BillStatus/BillOverview/81639","Voter registrations; recorder; inactive status",NA,"Voter registrations; recorder; inactive status",2,"2025-03-03",2025,"2025-2026"
"HB2006",1897271,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2006/2025","https://apps.azleg.gov/BillStatus/BillOverview/81640","Election mailings; third-party disclosures",NA,"Election mailings; third-party disclosures",5,"2025-04-18",2025,"2025-2026"
"HB2007",1897303,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2007/2025","https://apps.azleg.gov/BillStatus/BillOverview/81641","Voter registrations; payment prohibited",NA,"Voter registrations; payment prohibited",5,"2025-04-18",2025,"2025-2026"
"HB2008",1897232,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2008/2025","https://apps.azleg.gov/BillStatus/BillOverview/81642","Notary public; requirements",NA,"Notary public; requirements",2,"2025-02-06",2025,"2025-2026"
"HB2009",1897319,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2009/2025","https://apps.azleg.gov/BillStatus/BillOverview/81643","Vehicle license tax; exemption; military",NA,"Vehicle license tax; exemption; military",4,"2025-04-18",2025,"2025-2026"
"HB2010",1898438,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2010/2025","https://apps.azleg.gov/BillStatus/BillOverview/81652","Youth charity organization special plates",NA,"Youth charity organization special plates",1,"2025-01-13",2025,"2025-2026"
"HB2011",1900944,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2011/2025","https://apps.azleg.gov/BillStatus/BillOverview/81655","Church of Jesus Christ monument",NA,"Church of Jesus Christ monument",1,"2025-01-14",2025,"2025-2026"
"HB2012",1901262,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2012/2025","https://apps.azleg.gov/BillStatus/BillOverview/81658","Emergency use products; employers; prohibition",NA,"Emergency use products; employers; prohibition",5,"2025-04-07",2025,"2025-2026"
"HB2013",1901319,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2013/2025","https://apps.azleg.gov/BillStatus/BillOverview/81659","Public safety cancer insurance",NA,"Public safety cancer insurance",4,"2025-04-08",2025,"2025-2026"
"HB2014",1901441,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2014/2025","https://apps.azleg.gov/BillStatus/BillOverview/81660","Public libraries; annual report; date",NA,"Public libraries; annual report; date",2,"2025-03-04",2025,"2025-2026"
"HB2015",1901379,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2015/2025","https://apps.azleg.gov/BillStatus/BillOverview/81661","EORP; CORP; funded ratio",NA,"EORP; CORP; funded ratio",2,"2025-02-13",2025,"2025-2026"
"HB2016",1901599,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2016/2025","https://apps.azleg.gov/BillStatus/BillOverview/81662","Duty to report; penitent confessions",NA,"Duty to report; penitent confessions",1,"2025-02-24",2025,"2025-2026"
"HB2017",1901551,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2017/2025","https://apps.azleg.gov/BillStatus/BillOverview/81663","Voting centers ban; precinct size",NA,"Voting centers ban; precinct size",5,"2025-05-06",2025,"2025-2026"
"HB2018",1902792,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2018/2025","https://apps.azleg.gov/BillStatus/BillOverview/81668","Private universities; Arizona teachers academy",NA,"Private universities; Arizona teachers academy",2,"2025-02-11",2025,"2025-2026"
"HB2019",1903326,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2019/2025","https://apps.azleg.gov/BillStatus/BillOverview/81670","Schools; water safety; information; resources",NA,"Schools; water safety; information; resources",4,"2025-05-06",2025,"2025-2026"
"HB2020",1903067,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2020/2025","https://apps.azleg.gov/BillStatus/BillOverview/81671","Teacher retention; study; report",NA,"Teacher retention; study; report",2,"2025-02-25",2025,"2025-2026"
"HB2021",1904500,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2021/2025","https://apps.azleg.gov/BillStatus/BillOverview/81678","Early ballots; early voting; identification",NA,"Early ballots; early voting; identification",1,"2025-01-14",2025,"2025-2026"
"HB2022",1904692,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2022/2025","https://apps.azleg.gov/BillStatus/BillOverview/81679","School safety; employee certification; policies",NA,"School safety; employee certification; policies",2,"2025-02-03",2025,"2025-2026"
"HB2023",1904402,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2023/2025","https://apps.azleg.gov/BillStatus/BillOverview/81680","Municipal general plan; adoption",NA,"Municipal general plan; adoption",2,"2025-02-13",2025,"2025-2026"
"HB2024",1904598,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2024/2025","https://apps.azleg.gov/BillStatus/BillOverview/81681","Prisoners; transition program",NA,"Prisoners; transition program",2,"2025-02-13",2025,"2025-2026"
"HB2025",1904306,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2025/2025","https://apps.azleg.gov/BillStatus/BillOverview/81682","Scope of practice; medical assistants",NA,"Scope of practice; medical assistants",4,"2025-03-31",2025,"2025-2026"
"HB2026",1904646,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2026/2025","https://apps.azleg.gov/BillStatus/BillOverview/81683","Dental board; hearings; hygienist supervision",NA,"Dental board; hearings; hygienist supervision",4,"2025-05-02",2025,"2025-2026"
"HB2027",1904450,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2027/2025","https://apps.azleg.gov/BillStatus/BillOverview/81684","Behavior analysts; regulatory board",NA,"Behavior analysts; regulatory board",2,"2025-03-20",2025,"2025-2026"
"HB2028",1904548,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2028/2025","https://apps.azleg.gov/BillStatus/BillOverview/81685","Genetic counselors; board; licensure",NA,"Genetic counselors; board; licensure",1,"2025-01-13",2025,"2025-2026"
"HB2029",1904741,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2029/2025","https://apps.azleg.gov/BillStatus/BillOverview/81686","Academic standards; attestation; posting",NA,"Academic standards; attestation; posting",2,"2025-03-03",2025,"2025-2026"
"HB2030",1904350,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2030/2025","https://apps.azleg.gov/BillStatus/BillOverview/81687","Impersonation; veteran; armed forces",NA,"Impersonation; veteran; armed forces",2,"2025-02-11",2025,"2025-2026"
"HB2031",1905478,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2031/2025","https://apps.azleg.gov/BillStatus/BillOverview/81688","Boards and commissions; state departments",NA,"Boards and commissions; state departments",1,"2025-01-15",2025,"2025-2026"
"HB2032",1905439,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2032/2025","https://apps.azleg.gov/BillStatus/BillOverview/81689","Workers' compensation; assigned risk plan",NA,"Workers' compensation; assigned risk plan",4,"2025-05-02",2025,"2025-2026"
"HB2033",1905766,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2033/2025","https://apps.azleg.gov/BillStatus/BillOverview/81690","Building permits; solar; approval process",NA,"Building permits; solar; approval process",2,"2025-02-06",2025,"2025-2026"
"HB2034",1905969,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2034/2025","https://apps.azleg.gov/BillStatus/BillOverview/81691","ASRS; supplemental employee deferral plan",NA,"ASRS; supplemental employee deferral plan",2,"2025-02-17",2025,"2025-2026"
"HB2035",1905685,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2035/2025","https://apps.azleg.gov/BillStatus/BillOverview/81692","ASRS; termination incentive programs",NA,"ASRS; termination incentive programs",2,"2025-02-13",2025,"2025-2026"
"HB2036",1905808,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2036/2025","https://apps.azleg.gov/BillStatus/BillOverview/81693","ASRS; temporary personnel service",NA,"ASRS; temporary personnel service",2,"2025-02-13",2025,"2025-2026"
"HB2037",1905319,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2037/2025","https://apps.azleg.gov/BillStatus/BillOverview/81695","Constitutional convention; faithless delegates",NA,"Constitutional convention; faithless delegates",2,"2025-02-26",2025,"2025-2026"
"HB2038",1905849,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2038/2025","https://apps.azleg.gov/BillStatus/BillOverview/81696","Voter registration; citizenship proof",NA,"Voter registration; citizenship proof",2,"2025-02-25",2025,"2025-2026"
"HB2039",1905358,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2039/2025","https://apps.azleg.gov/BillStatus/BillOverview/81697","Technical correction; veterinary board; report",NA,"Technical correction; veterinary board; report",0,NA,2025,"2025-2026"
"HB2040",1905725,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2040/2025","https://apps.azleg.gov/BillStatus/BillOverview/81698","En banc determination; rehearing",NA,"En banc determination; rehearing",2,"2025-02-26",2025,"2025-2026"
"HB2041",1905887,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2041/2025","https://apps.azleg.gov/BillStatus/BillOverview/81699","Technical correction; air quality; parking",NA,"Technical correction; air quality; parking",0,NA,2025,"2025-2026"
"HB2042",1905930,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2042/2025","https://apps.azleg.gov/BillStatus/BillOverview/81700","Threatening or intimidating; true threat",NA,"Threatening or intimidating; true threat",1,"2025-01-28",2025,"2025-2026"
"HB2043",1905521,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2043/2025","https://apps.azleg.gov/BillStatus/BillOverview/81701","Harassment; intent; defense",NA,"Harassment; intent; defense",2,"2025-03-13",2025,"2025-2026"
"HB2044",1905398,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2044/2025","https://apps.azleg.gov/BillStatus/BillOverview/81702","Corporation commission; securities; jury trial",NA,"Corporation commission; securities; jury trial",1,"2025-01-27",2025,"2025-2026"
"HB2045",1905562,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2045/2025","https://apps.azleg.gov/BillStatus/BillOverview/81703","Ballot order; names; parties; rotation",NA,"Ballot order; names; parties; rotation",2,"2025-02-04",2025,"2025-2026"
"HB2046",1905605,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2046/2025","https://apps.azleg.gov/BillStatus/BillOverview/81704","Audits; precincts; voting centers",NA,"Audits; precincts; voting centers",5,"2025-05-06",2025,"2025-2026"
"HB2047",1907386,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2047/2025","https://apps.azleg.gov/BillStatus/BillOverview/81705","Judicial appraisal; costs; attorney fees",NA,"Judicial appraisal; costs; attorney fees",2,"2025-02-13",2025,"2025-2026"
"HB2048",1907502,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2048/2025","https://apps.azleg.gov/BillStatus/BillOverview/81706","Sales of securities; definition",NA,"Sales of securities; definition",1,"2025-01-21",2025,"2025-2026"
"HB2049",1907323,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2049/2025","https://apps.azleg.gov/BillStatus/BillOverview/81707","Administrative decisions; security proceedings; hearings",NA,"Administrative decisions; security proceedings; hearings",2,"2025-02-20",2025,"2025-2026"
"HB2050",1907483,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2050/2025","https://apps.azleg.gov/BillStatus/BillOverview/81708","Provisional ballots; cure data",NA,"Provisional ballots; cure data",5,"2025-05-06",2025,"2025-2026"
"HB2051",1907344,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2051/2025","https://apps.azleg.gov/BillStatus/BillOverview/81709","Governor; question time",NA,"Governor; question time",2,"2025-03-05",2025,"2025-2026"
"HB2052",1907445,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2052/2025","https://apps.azleg.gov/BillStatus/BillOverview/81710","License exemption; basic first aid",NA,"License exemption; basic first aid",2,"2025-02-24",2025,"2025-2026"
"HB2053",1907422,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2053/2025","https://apps.azleg.gov/BillStatus/BillOverview/81711","Tax credit; private land; border",NA,"Tax credit; private land; border",1,"2025-01-13",2025,"2025-2026"
"HB2054",1907463,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2054/2025","https://apps.azleg.gov/BillStatus/BillOverview/81720","DIFI; financial enterprises; insurance; compact",NA,"DIFI; financial enterprises; insurance; compact",2,"2025-02-06",2025,"2025-2026"
"HB2055",1907564,2155,"2025-2025_Fifty-seventh_Legislature_1st_Regular","Fifty-seventh Legislature - First Regular Session (2025)","https://legiscan.com/AZ/bill/HB2055/2025","https://apps.azleg.gov/BillStatus/BillOverview/81721","Immunizations; requirements; exemption",NA,"Immunizations; requirements; exemption",1,"2025-01-21",2025,"2025-2026"
