"roll_call_id","bill_id","session","roll_call_date","roll_call_desc","yea","nay","nv","absent","n_total","passed","roll_call_chamber","bill_title","bill_number","session_year","bill_url","pct_of_total","n_present","pct_of_present","final_vote","R_pct_of_present","D_pct_of_present","rc_unity_D","rc_unity_R","rc_mean_partisanship"
1471422,1907950,"2025-2025_Fifty-seventh_Legislature_1st_Regular","2025-01-14","House Education Committee Action (DP)",12,0,0,0,12,1,"H","Governing boards; records; access","HB2067",2025,"https://legiscan.com/AZ/bill/HB2067/2025",1,12,1,"N",1,1,1,1,1
1471441,1907789,"2025-2025_Fifty-seventh_Legislature_1st_Regular","2025-01-14","House Education Committee Action (DPA)",8,4,0,0,12,1,"H","School safety; proposals; assessments; plans","HB2074",2025,"https://legiscan.com/AZ/bill/HB2074/2025",0.666666666666667,12,0.666666666666667,"N",1,0.2,0.8,1,0.916666666666667
1471601,1904692,"2025-2025_Fifty-seventh_Legislature_1st_Regular","2025-01-14","House Education Committee Action (DPA)",7,5,0,0,12,1,"H","School safety; employee certification; policies","HB2022",2025,"https://legiscan.com/AZ/bill/HB2022/2025",0.583333333333333,12,0.583333333333333,"N",1,0,1,1,1
1471602,1904741,"2025-2025_Fifty-seventh_Legislature_1st_Regular","2025-01-14","House Education Committee Action (HELD)",0,0,0,0,0,1,"H","Academic standards; attestation; posting","HB2029",2025,"https://legiscan.com/AZ/bill/HB2029/2025",NA,0,NA,"N",NA,NA,NA,NA,NA
1471735,1896982,"2025-2025_Fifty-seventh_Legislature_1st_Regular","2025-01-15","Senate Government Committee Action (DP)",4,2,1,0,7,1,"S","Blockchain technology; tax; fee; prohibition","SB1015",2025,"https://legiscan.com/AZ/bill/SB1015/2025",0.571428571428571,6,0.666666666666667,"N",1,0,1,1,1
1471783,1896223,"2025-2025_Fifty-seventh_Legislature_1st_Regular","2025-01-15","Senate Judiciary and Elections Committee Action (DPA)",4,3,0,0,7,1,"S","Early voting; ballot deadlines","SB1011",2025,"https://legiscan.com/AZ/bill/SB1011/2025",0.571428571428571,7,0.571428571428571,"N",1,0,1,1,1
1471794,1896601,"2025-2025_Fifty-seventh_Legislature_1st_Regular","2025-01-15","Senate Government Committee Action (DP)",4,3,0,0,7,1,"S","Fentanyl; possession; probation ineligibility","SB1013",2025,"https://legiscan.com/AZ/bill/SB1013/2025",0.571428571428571,7,0.571428571428571,"N",1,0,1,1,1
1471802,1902513,"2025-2025_Fifty-seventh_Legislature_1st_Regular","2025-01-15","Senate Government Committee Action (DPA)",6,0,1,0,7,1,"S","Homeowner's associations; meetings; recordings","SB1039",2025,"https://legiscan.com/AZ/bill/SB1039/2025",0.857142857142857,6,1,"N",1,1,1,1,1
1471834,1897014,"2025-2025_Fifty-seventh_Legislature_1st_Regular","2025-01-15","Senate Education Committee Action (DP)",7,0,0,0,7,1,"S","ROTC cadets; in-state student status","SB1021",2025,"https://legiscan.com/AZ/bill/SB1021/2025",1,7,1,"N",1,1,1,1,1
1472696,1902792,"2025-2025_Fifty-seventh_Legislature_1st_Regular","2025-01-21","House Education Committee Action (DP)",7,3,0,2,12,1,"H","Private universities; Arizona teachers academy","HB2018",2025,"https://legiscan.com/AZ/bill/HB2018/2025",0.583333333333333,10,0.7,"N",1,0.25,0.75,1,0.9
1472710,1907813,"2025-2025_Fifty-seventh_Legislature_1st_Regular","2025-01-21","House Education Committee Action (DP)",10,0,0,2,12,1,"H","Instructional time models; posting requirements","HB2069",2025,"https://legiscan.com/AZ/bill/HB2069/2025",0.833333333333333,10,1,"N",1,1,1,1,1
1472711,1905766,"2025-2025_Fifty-seventh_Legislature_1st_Regular","2025-01-21","House Commerce Committee Action (DP)",10,0,0,0,10,1,"H","Building permits; solar; approval process","HB2033",2025,"https://legiscan.com/AZ/bill/HB2033/2025",1,10,1,"N",1,1,1,1,1
1472713,1905439,"2025-2025_Fifty-seventh_Legislature_1st_Regular","2025-01-21","House Commerce Committee Action (DP)",10,0,0,0,10,1,"H","Workers' compensation; assigned risk plan","HB2032",2025,"https://legiscan.com/AZ/bill/HB2032/2025",1,10,1,"N",1,1,1,1,1
1472714,1908720,"2025-2025_Fifty-seventh_Legislature_1st_Regular","2025-01-21","House Commerce Committee Action (DPA)",10,0,0,0,10,1,"H","Life insurance; illustrations","HB2076",2025,"https://legiscan.com/AZ/bill/HB2076/2025",1,10,1,"N",1,1,1,1,1
1472715,1921947,"2025-2025_Fifty-seventh_Legislature_1st_Regular","2025-01-21","House Natural Resources, Energy & Water Committee Action (DP)",5,3,0,2,10,1,"H","Stormwater; groundwater; recharge; urging support","HCM2003",2025,"https://legiscan.com/AZ/bill/HCM2003/2025",0.5,8,0.625,"N",1,0,1,1,1
1472723,1907463,"2025-2025_Fifty-seventh_Legislature_1st_Regular","2025-01-21","House Commerce Committee Action (DP)",10,0,0,0,10,1,"H","DIFI; financial enterprises; insurance; compact","HB2054",2025,"https://legiscan.com/AZ/bill/HB2054/2025",1,10,1,"N",1,1,1,1,1
1472741,1921132,"2025-2025_Fifty-seventh_Legislature_1st_Regular","2025-01-21","House Natural Resources, Energy & Water Committee Action (DP)",6,2,0,2,10,1,"H","Reinstatement; WIFA monies","HCR2016",2025,"https://legiscan.com/AZ/bill/HCR2016/2025",0.6,8,0.75,"N",1,0.333333333333333,0.666666666666667,1,0.875
