ID,Label,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
1,1,230791,185940,33398,2683,3654,6710,708,237896,184643,34576,3195,4889,9883,906,234359,187876,34355,2992,3819,6594,719,239511,188601,36453,3427,4408,8104,749,194207,165065,19858,1964,2521,4134,130,101252,37756,61755,99852,34736,65116,116219,36550,72013,113123,35461,68768,110156,41162,65929,110109,33061,74850,105945,37449,68333,121405,41853,77227,144404,50490,91810,143214,52746,90468,128500,45704,80927,124266,45910,75583,123647,44953,78693,120879,43430,77343,122654,46501,76027,120458,37162,83296,123009,44579,78270,133697,47769,85440,149553,49261,98932
2,2,242749,156040,56361,11892,15968,5047,908,246674,150278,56627,15905,17363,8718,1091,248588,159117,57057,13463,16271,6331,969,241155,146770,58434,15314,16082,7287,1060,171478,121652,29750,9693,5692,3819,134,81298,34194,45866,76859,32383,44476,88562,36555,44776,86494,31541,48730,77994,38475,37343,77733,31240,44576,76020,35258,40620,90689,42035,46620,113323,54437,56859,111785,56196,55589,92777,45300,45741,82231,42507,37697,82095,41634,40150,80059,40475,39485,80472,42729,37635,79505,34894,44611,71611,26414,43139,95668,47559,47630,107322,50082,56026
3,3,237048,202691,14493,4642,13189,3125,340,236955,196097,16501,5520,13185,4737,674,240425,202615,15548,4871,13387,3061,628,236366,194845,18140,5602,13609,3310,597,184893,161274,10820,3526,6772,1951,54,109416,38783,69564,110980,35002,75978,123973,42772,74658,121485,34913,81059,118877,45584,71855,118406,35430,81636,115891,40885,74882,131944,47958,82475,158427,61455,95522,157704,61541,96163,140509,54830,84237,136246,56011,78331,135937,54469,81119,132675,52652,79906,133790,56880,76795,131652,43571,88081,127210,41773,84252,146880,57823,88656,163121,61006,100964
4,4,247062,193924,26102,6814,18142,2775,974,244298,187076,24702,7356,19813,4683,862,252311,193654,27200,8044,21179,2777,1096,239761,181377,26987,7887,19361,3379,1376,186461,153061,17335,4745,8521,1793,646,119506,50748,67444,117439,47365,70074,128067,57139,62763,125735,45917,74612,120242,59913,58532,119679,48282,69703,116989,53642,63219,132485,62478,68070,156320,77921,76546,155260,77789,77471,135039,67806,65431,125388,66087,57298,124902,64705,59811,122155,63317,58720,122406,66657,55631,120809,52489,68320,123164,60843,62159,138962,70439,68024,152690,72931,78326
5,5,244960,115092,95900,17938,9850,10546,932,239088,115428,85196,20852,10314,12833,1036,246783,115169,94705,19651,11095,11229,1030,240647,111829,89912,21211,11380,11922,1043,170361,98391,46455,12520,6264,5907,348,72534,41817,29598,71825,44134,27691,84844,53325,25025,83506,46460,32775,80078,56047,22081,79671,48765,29007,78095,52126,25800,90190,60546,27773,110172,76113,32327,109339,76854,32485,91090,63661,25895,81984,59448,20935,81569,58741,22539,79738,57418,22203,80047,59302,20664,78803,51359,27444,80049,56812,23036,94140,66509,27162,104237,70411,32426
6,6,232280,57132,22002,2939,2894,152217,577,225474,58813,21538,3006,2750,142803,607,233001,57263,22718,3474,2664,151713,688,223552,56238,23020,3612,2428,143775,508,161326,46511,13560,1852,984,98541,169,78213,49115,27249,76402,52097,24305,88009,52888,26732,87964,54691,28360,80002,52136,24762,79819,46341,30668,78462,51167,27112,90747,58363,29816,111111,73042,36248,110671,74951,35720,89476,59942,27804,78290,54242,22266,77997,53018,24747,76881,53270,23439,76918,52933,23760,76468,49451,27017,77703,54203,23317,91131,61422,29373,98343,61896,35184
7,7,242916,173083,49566,6150,4791,11691,796,240214,170156,44449,6284,5344,14836,1029,248302,175702,50575,7455,5412,12617,916,244267,170482,49202,7851,5870,14043,868,196648,147315,32637,4223,3184,8331,232,88415,33420,53334,85114,30927,54187,94411,31762,55968,91836,31054,53469,87159,35086,49476,86851,27858,56939,85067,32300,52595,98224,36039,60179,119791,43850,74114,118675,46324,72351,105082,39443,64051,100814,39178,59044,100431,37885,62223,98975,37438,61389,99138,39617,59398,98551,32250,66301,99687,37034,61752,110692,41428,68766,129408,44767,83448
8,8,255232,139017,67523,20632,17877,14706,1711,244166,128811,61634,20990,20211,16948,1618,259702,139900,65820,24787,18561,15394,1590,248372,131986,65799,22758,17990,14480,1780,189054,118745,38466,14934,8148,7541,598,74705,41428,32034,67942,38096,29846,78680,44138,26988,76866,38007,34280,71245,45886,23440,70734,39704,29345,69022,42532,26348,82418,50746,29608,103530,65620,35786,102279,66498,35781,82076,51925,28357,70615,46213,22887,70048,45295,24467,68253,43885,24245,68087,45330,22644,67278,38992,28286,69247,44351,24758,84487,53866,30067,94031,55595,37100
9,9,247766,120949,95061,16211,6788,13454,2836,238117,112902,89712,17038,8627,14500,2149,252124,123996,93631,18203,7267,12871,2467,243516,119149,89623,20119,7956,12116,1336,160852,98431,40472,11313,4056,5733,316,69595,29450,39063,65885,28749,37136,73453,31927,33570,71689,28185,38396,64060,33054,28911,63839,27561,34454,62292,30441,31738,74712,36934,35591,93208,48209,42785,92156,50141,42015,74672,38806,33894,63967,34961,27161,63735,34252,29168,62294,33459,28743,62189,35284,26798,61792,29345,32447,62998,33769,29092,76386,40754,35106,85368,43327,40755
10,10,234134,177657,39853,8521,5104,4090,389,235579,169445,42978,9107,7869,7440,1263,237035,176793,42584,8749,5509,4582,595,232078,168716,42228,9223,8342,5352,726,178604,140750,23740,6039,4866,2666,215,86032,30366,54308,82514,28215,54299,93219,30637,54927,91166,27918,56660,85738,34230,49209,85583,25808,57799,83641,30354,53118,97898,36238,59498,120951,47143,71808,119612,49225,70387,101722,40663,59171,93634,40188,51014,93405,39075,53925,91303,37977,53206,91414,40893,50417,90507,31816,58691,92287,36550,53858,106045,43450,62072,120324,46992,72132
